Price,Distance_km,Room_Capacity,Wifi,Mess,Security_Rating,AC,Attached_Washroom,Vending_Machine,Study_Room,Gym,Lift,Hostel_Type
7882,1.55,4,1,0,7,0,1,0,0,0,1,Standard
11690,1.27,3,1,1,9,1,1,1,1,1,1,Premium
3202,1.81,1,0,1,3,0,0,1,1,0,0,Budget
7564,2.25,3,0,0,8,1,1,1,0,1,1,Standard
9540,2.36,2,1,1,9,1,1,0,1,1,1,Premium
3951,0.71,3,1,1,4,0,1,0,0,1,0,Budget
7806,3.38,3,1,1,8,1,1,0,1,0,0,Standard
8130,3.06,1,1,1,9,1,1,1,1,1,0,Premium
4101,3.41,4,0,1,4,0,0,0,1,1,0,Budget
6039,3.9,3,1,0,5,1,0,1,1,0,0,Standard
10298,2.62,3,1,1,9,1,1,1,1,1,0,Premium
3143,1.66,3,1,1,5,0,0,0,0,1,0,Budget
6622,1.58,1,0,1,7,0,1,0,1,1,1,Standard
10343,1.42,3,1,1,6,1,1,1,1,1,0,Premium
3821,2.3,4,1,1,4,0,0,0,1,0,0,Budget
5308,3.61,2,0,0,7,0,1,1,1,1,1,Standard
10837,4.24,2,1,1,7,1,1,0,1,1,0,Premium
3702,4.25,3,1,1,6,0,1,0,0,0,0,Budget
7660,0.52,2,1,1,7,1,0,0,1,1,1,Standard
10300,3.1,2,1,1,9,1,1,0,1,1,0,Premium
4484,2.11,4,0,1,4,0,1,1,1,1,0,Budget
7382,2.6,3,0,0,8,1,0,1,1,0,1,Standard
9319,3.58,1,1,1,7,1,1,0,1,1,1,Premium
4145,1.68,2,0,1,6,0,1,0,1,1,1,Budget
6427,2.41,2,0,0,7,0,0,1,1,1,1,Standard
10237,1.85,1,1,1,6,1,1,0,1,1,0,Premium
4759,0.94,1,0,1,5,0,1,1,1,1,0,Budget
5806,3.15,3,0,0,6,0,0,1,0,0,1,Standard
8158,0.68,2,1,1,8,1,1,1,1,1,1,Premium
4054,3.33,1,0,1,6,0,0,0,1,1,1,Budget
7850,3.42,3,0,0,6,0,0,0,1,0,1,Standard
10805,4.64,2,1,1,7,1,1,1,1,1,1,Premium
4680,1.1,4,0,1,3,0,0,1,1,1,1,Budget
7344,1.63,2,0,1,7,1,1,0,1,1,0,Standard
11255,0.97,1,1,1,9,1,1,1,1,1,1,Premium
4702,3.6,2,0,1,6,0,0,0,1,1,1,Budget
6814,2.16,4,0,0,7,1,0,0,1,1,0,Standard
10376,3.8,4,1,1,6,1,1,0,1,1,1,Premium
3642,3.08,3,0,1,3,0,0,0,1,0,1,Budget
6922,3.2,3,0,1,8,0,0,1,0,1,0,Standard
9728,1.3,3,1,1,6,1,1,1,1,1,0,Premium
4290,3.69,3,1,1,5,0,0,1,1,0,0,Budget
5812,4.62,4,1,0,7,0,0,0,0,1,0,Standard
9717,2.05,3,1,1,6,1,1,0,1,1,0,Premium
3759,0.67,4,0,1,5,0,0,0,1,0,1,Budget
7901,0.56,1,0,1,8,1,1,0,0,1,0,Standard
11032,0.86,4,1,1,7,1,1,1,1,1,0,Premium
3630,2.71,4,1,1,5,0,0,1,1,0,0,Budget
5098,4.88,3,1,1,8,1,0,0,0,1,0,Standard
11220,1.69,1,1,1,6,1,1,1,1,1,1,Premium
4233,4.26,3,0,1,6,0,1,1,0,0,1,Budget
5517,1.89,1,1,1,8,1,0,1,0,0,1,Standard
8582,0.54,1,1,1,6,1,1,0,1,1,1,Premium
4483,1.67,3,1,1,3,0,0,1,0,1,0,Budget
5886,1.12,1,0,0,7,1,1,1,0,0,1,Standard
9969,3.02,1,1,1,8,1,1,1,1,1,0,Premium
3115,1.09,3,0,1,3,0,0,1,0,0,0,Budget
7177,4.59,2,0,0,7,0,1,0,1,0,0,Standard
11705,0.86,1,1,1,6,1,1,0,1,1,0,Premium
4089,2.83,3,1,1,4,0,0,1,0,0,1,Budget
6573,2.92,2,0,0,5,1,0,1,1,0,1,Standard
10204,4.6,1,1,1,6,1,1,0,1,1,1,Premium
4994,1.88,1,0,1,5,0,0,0,1,0,0,Budget
7445,4.43,3,0,0,8,0,0,1,1,1,1,Standard
11252,4.38,3,1,1,6,1,1,1,1,1,1,Premium
3153,4.85,4,0,1,5,0,0,0,0,0,1,Budget
5750,1.22,3,1,1,6,1,1,0,0,1,0,Standard
10895,2.8,4,1,1,8,1,1,0,1,1,0,Premium
3213,0.52,4,0,1,5,0,1,0,1,1,0,Budget
6445,2.69,4,0,0,5,1,1,1,0,1,1,Standard
9733,0.57,1,1,1,6,1,1,1,1,1,1,Premium
4927,4.34,4,0,1,4,0,1,0,1,0,0,Budget
7129,3.78,2,0,1,7,0,1,0,0,1,0,Standard
9905,1.1,3,1,1,8,1,1,1,1,1,1,Premium
3902,4.85,3,0,1,4,0,0,1,0,0,0,Budget
7540,1.15,1,1,0,7,1,1,0,0,1,1,Standard
8240,2.62,1,1,1,6,1,1,1,1,1,1,Premium
3836,2.95,4,0,1,5,0,1,1,0,0,0,Budget
6434,1.47,3,0,0,8,0,0,0,0,1,0,Standard
11942,0.79,3,1,1,9,1,1,1,1,1,1,Premium
3312,2.83,3,0,1,6,0,0,1,1,0,0,Budget
7965,3.86,1,1,0,5,0,0,1,0,0,0,Standard
10530,2.84,4,1,1,6,1,1,0,1,1,1,Premium
3747,2.77,3,0,1,6,0,0,1,1,0,0,Budget
6045,3.33,1,1,0,7,1,0,1,0,0,1,Standard
8729,3.92,4,1,1,7,1,1,0,1,1,1,Premium
4223,4.48,2,0,1,3,0,1,1,0,0,1,Budget
6643,4.07,2,1,0,5,1,1,1,0,1,0,Standard
11040,4.94,2,1,1,6,1,1,0,1,1,0,Premium
3943,2.86,4,0,1,4,0,0,0,1,0,0,Budget
7802,3.33,1,1,1,8,0,0,0,1,1,0,Standard
8942,4.16,1,1,1,6,1,1,1,1,1,0,Premium
4756,2.14,3,0,1,6,0,1,1,0,1,1,Budget
6664,4.28,3,1,0,6,1,0,1,1,0,0,Standard
9012,4.95,3,1,1,7,1,1,1,1,1,1,Premium
3384,2.41,1,1,1,5,0,1,0,1,1,0,Budget
6990,4.29,2,0,0,8,1,1,1,1,1,1,Standard
10116,0.99,3,1,1,7,1,1,1,1,1,0,Premium
4872,0.98,1,0,1,3,0,1,1,0,0,1,Budget
6930,4.65,4,0,1,8,1,1,1,1,1,1,Standard
10641,4.55,3,1,1,9,1,1,0,1,1,0,Premium
4110,2.27,3,1,1,4,0,0,1,0,1,1,Budget
5874,4.25,1,1,0,7,0,1,0,0,1,1,Standard
8166,0.53,1,1,1,6,1,1,0,1,1,0,Premium
3450,2.59,4,1,1,4,0,1,1,1,0,0,Budget
6482,1.36,4,0,1,5,1,1,0,1,1,1,Standard
9724,4.27,3,1,1,9,1,1,1,1,1,0,Premium
4758,1.92,3,1,1,6,0,1,0,0,1,1,Budget
7707,1.76,3,1,1,6,1,0,1,1,1,0,Standard
11533,2.22,3,1,1,8,1,1,1,1,1,1,Premium
4078,1.35,1,1,1,5,0,0,1,0,1,1,Budget
6713,2.31,1,1,1,6,0,1,1,0,0,0,Standard
11200,2.28,2,1,1,6,1,1,0,1,1,0,Premium
3062,2.08,4,0,1,4,0,0,1,1,1,1,Budget
7762,0.69,2,1,1,5,1,1,1,0,0,1,Standard
10207,3.81,3,1,1,8,1,1,0,1,1,1,Premium
4067,1.53,2,0,1,4,0,0,0,1,1,1,Budget
5435,3.92,4,1,0,6,1,0,1,0,0,0,Standard
8321,4.34,1,1,1,9,1,1,1,1,1,1,Premium
3584,3.8,3,0,1,4,0,1,0,0,1,1,Budget
5140,1.69,2,0,1,8,1,0,1,0,0,0,Standard
8409,3.92,2,1,1,6,1,1,1,1,1,0,Premium
4218,0.69,2,1,1,5,0,1,1,1,0,0,Budget
5389,0.7,2,0,0,7,0,1,0,1,0,0,Standard
8477,3.08,1,1,1,9,1,1,1,1,1,0,Premium
3508,2.21,3,0,1,3,0,1,1,0,0,1,Budget
5865,0.64,2,0,0,6,0,1,1,0,1,0,Standard
11597,0.53,2,1,1,8,1,1,1,1,1,1,Premium
4013,3.68,1,0,1,5,0,0,0,0,1,1,Budget
5575,4.56,4,1,1,7,0,0,0,1,0,0,Standard
9706,3.07,4,1,1,9,1,1,1,1,1,0,Premium
4239,3.25,2,1,1,3,0,1,0,1,1,0,Budget
5044,2.83,4,1,0,6,1,0,1,1,0,0,Standard
11157,2.6,2,1,1,7,1,1,1,1,1,0,Premium
4967,2.36,3,0,1,6,0,0,0,1,1,1,Budget
5221,2.4,1,1,0,7,0,0,1,1,1,0,Standard
11681,2.33,3,1,1,8,1,1,1,1,1,1,Premium
4782,4.06,3,1,1,3,0,1,1,1,1,1,Budget
5775,4.52,4,1,0,6,1,1,0,1,0,0,Standard
8838,3.58,3,1,1,6,1,1,1,1,1,0,Premium
4448,3.83,2,0,1,6,0,1,1,1,0,1,Budget
7689,3.9,3,1,0,5,1,1,1,0,1,0,Standard
10229,3.13,2,1,1,7,1,1,0,1,1,1,Premium
3647,3.2,3,0,1,3,0,1,1,1,1,0,Budget
7161,2.03,2,0,0,7,1,0,1,1,0,0,Standard
9718,3.85,3,1,1,6,1,1,1,1,1,1,Premium
4671,4.58,2,1,1,3,0,0,1,0,1,0,Budget
7709,2.26,1,0,0,7,1,1,1,1,0,1,Standard
9618,1.87,1,1,1,6,1,1,1,1,1,0,Premium
4502,0.81,1,0,1,3,0,1,1,1,1,0,Budget
5124,2.2,3,1,0,5,1,0,0,1,1,1,Standard
11767,2.63,1,1,1,8,1,1,1,1,1,1,Premium
4234,3.31,3,0,1,4,0,1,1,1,1,0,Budget
7457,0.56,1,1,0,7,0,0,1,1,0,1,Standard
8296,4.25,1,1,1,7,1,1,0,1,1,0,Premium
3221,1.71,2,1,1,3,0,0,0,1,1,0,Budget
5151,4.69,3,0,1,8,0,0,1,1,1,1,Standard
11939,1.84,3,1,1,7,1,1,0,1,1,0,Premium
4944,2.03,3,0,1,5,0,1,1,0,0,0,Budget
6512,3.88,2,0,1,6,1,1,0,0,1,1,Standard
9561,1.65,4,1,1,6,1,1,0,1,1,1,Premium
3988,4.52,1,1,1,4,0,0,1,0,0,0,Budget
6724,4.59,4,1,0,7,0,1,1,1,1,1,Standard
8069,1.3,2,1,1,8,1,1,1,1,1,0,Premium
4885,4.73,1,1,1,5,0,1,1,1,1,1,Budget
6425,4.85,1,0,0,6,1,1,1,0,1,0,Standard
9498,3.6,4,1,1,7,1,1,0,1,1,1,Premium
3810,4.04,1,1,1,5,0,0,0,0,0,1,Budget
6218,0.99,2,1,0,8,1,0,0,1,0,1,Standard
11635,1.36,1,1,1,6,1,1,1,1,1,0,Premium
3574,1.73,1,0,1,3,0,0,0,0,0,1,Budget
6649,2.42,3,0,0,8,0,0,0,0,1,1,Standard
11795,1.77,1,1,1,6,1,1,0,1,1,1,Premium
3900,4.61,1,0,1,4,0,1,1,0,0,1,Budget
5192,3.83,2,1,0,8,0,1,1,1,1,0,Standard
11645,4.45,1,1,1,7,1,1,0,1,1,1,Premium
4682,1.51,2,1,1,3,0,0,0,1,1,1,Budget
7520,1.39,4,0,1,8,0,1,0,1,1,1,Standard
10016,3.11,1,1,1,8,1,1,0,1,1,1,Premium
3384,1.1,2,0,1,3,0,1,1,0,0,1,Budget
5367,2.07,4,0,0,8,0,0,0,0,0,0,Standard
9789,3.82,2,1,1,8,1,1,1,1,1,0,Premium
4564,2.2,1,0,1,4,0,1,1,0,1,0,Budget
6393,0.94,1,0,0,7,0,0,0,1,1,0,Standard
11145,3.5,1,1,1,8,1,1,1,1,1,1,Premium
3602,3.74,2,0,1,6,0,1,1,0,1,0,Budget
7504,3.19,3,1,0,7,1,0,1,0,0,1,Standard
11851,3.35,4,1,1,7,1,1,0,1,1,0,Premium
4466,1.51,3,1,1,3,0,1,1,0,0,0,Budget
5600,4.17,4,0,1,5,1,0,1,0,0,0,Standard
10492,3.45,2,1,1,9,1,1,0,1,1,1,Premium
4479,1.65,3,1,1,4,0,1,0,0,1,0,Budget
7689,2.84,2,0,1,6,1,1,0,0,1,1,Standard
8841,3.95,2,1,1,6,1,1,1,1,1,0,Premium
4161,3.97,2,0,1,3,0,0,1,0,1,1,Budget
6066,3.46,3,0,1,5,0,1,1,0,1,0,Standard
11048,3.36,3,1,1,6,1,1,0,1,1,0,Premium
4357,0.85,1,0,1,6,0,0,0,1,0,1,Budget
5859,4.71,4,1,0,5,1,0,0,0,1,1,Standard
9132,3.46,1,1,1,8,1,1,0,1,1,0,Premium
4570,2.22,3,0,1,3,0,1,1,0,1,1,Budget
6939,4.34,3,1,0,6,0,0,1,0,1,0,Standard
10368,4.64,1,1,1,9,1,1,0,1,1,0,Premium
4178,4.36,2,0,1,6,0,1,1,0,0,0,Budget
5581,3.85,2,0,1,8,0,1,1,0,1,1,Standard
9495,0.75,4,1,1,8,1,1,1,1,1,0,Premium
4325,0.8,4,0,1,4,0,0,0,0,1,0,Budget
7661,0.61,2,1,0,6,1,1,0,0,0,1,Standard
8395,3.53,2,1,1,6,1,1,0,1,1,0,Premium
4816,2.24,2,1,1,3,0,0,0,1,1,1,Budget
5117,1.59,3,0,0,6,1,1,1,1,1,1,Standard
8495,4.44,2,1,1,9,1,1,0,1,1,1,Premium
3886,3.55,4,0,1,6,0,0,1,0,0,1,Budget
6054,1.9,3,0,0,6,1,0,0,1,1,1,Standard
8995,1.2,2,1,1,8,1,1,1,1,1,1,Premium
4612,3.47,3,0,1,6,0,1,1,1,1,0,Budget
6436,4.88,4,1,1,5,0,0,1,1,0,1,Standard
10089,4.51,4,1,1,7,1,1,0,1,1,0,Premium
3986,3.43,1,0,1,4,0,1,1,0,1,1,Budget
5310,2.43,4,1,0,6,1,1,0,0,1,1,Standard
11603,1.95,2,1,1,6,1,1,1,1,1,1,Premium
4848,2.76,2,0,1,4,0,1,0,0,0,1,Budget
6915,3.41,4,1,1,7,1,0,0,1,1,0,Standard
9119,1.02,1,1,1,7,1,1,0,1,1,0,Premium
3676,1.57,3,0,1,4,0,1,1,1,0,1,Budget
7386,4.81,4,1,1,5,1,1,0,0,1,1,Standard
9662,2.39,4,1,1,8,1,1,1,1,1,0,Premium
4015,1.14,1,1,1,4,0,0,0,0,0,0,Budget
7639,1.77,2,0,0,8,0,1,1,0,0,0,Standard
10289,4.89,1,1,1,7,1,1,1,1,1,0,Premium
3992,2.17,2,0,1,3,0,0,1,1,0,0,Budget
7719,3.64,2,1,0,8,0,1,1,1,0,1,Standard
11682,3.92,1,1,1,6,1,1,0,1,1,0,Premium
3691,0.61,3,1,1,5,0,0,1,0,1,1,Budget
5986,4.18,2,0,1,8,1,1,0,1,0,0,Standard
9430,3.13,2,1,1,7,1,1,0,1,1,0,Premium
3796,1.26,1,1,1,6,0,0,1,0,1,1,Budget
7986,2.75,3,0,0,7,0,0,0,1,0,1,Standard
8361,2.27,3,1,1,8,1,1,1,1,1,1,Premium
4893,4.84,4,0,1,4,0,0,1,0,0,1,Budget
7623,1.09,4,1,1,6,0,1,1,0,0,1,Standard
9813,4.92,3,1,1,8,1,1,1,1,1,1,Premium
3112,4.71,1,1,1,3,0,0,0,0,1,1,Budget
7157,4.33,4,1,1,8,1,1,0,1,0,0,Standard
10069,3.43,1,1,1,6,1,1,1,1,1,1,Premium
3057,0.68,1,0,1,6,0,1,0,1,0,0,Budget
7422,4.39,1,0,0,8,0,1,1,1,0,1,Standard
11405,4.97,4,1,1,8,1,1,0,1,1,1,Premium
4013,1.12,1,0,1,3,0,0,0,0,1,0,Budget
7549,2.38,3,1,0,8,1,0,0,1,1,0,Standard
9985,4.22,3,1,1,8,1,1,1,1,1,0,Premium
3674,2.48,4,1,1,5,0,0,0,1,0,0,Budget
6833,3.49,4,1,0,5,0,1,1,1,1,1,Standard
10208,1.54,4,1,1,9,1,1,1,1,1,0,Premium
4244,3.95,2,1,1,6,0,1,0,1,0,0,Budget
7199,0.57,2,1,1,8,0,0,1,1,1,0,Standard
8069,4.15,4,1,1,6,1,1,1,1,1,1,Premium
4944,4.27,3,1,1,3,0,1,1,0,1,1,Budget
7936,1.59,2,0,1,6,1,0,1,1,1,1,Standard
8001,1.88,1,1,1,6,1,1,0,1,1,0,Premium
4695,3.28,1,0,1,3,0,0,0,0,1,0,Budget
5878,2.62,3,1,0,8,1,0,1,0,0,1,Standard
10255,3.55,4,1,1,8,1,1,1,1,1,1,Premium
4571,4.56,4,1,1,4,0,0,1,0,1,0,Budget
5319,2.57,3,0,0,6,1,1,1,1,1,1,Standard
10221,4.92,3,1,1,6,1,1,1,1,1,0,Premium
3008,0.87,4,1,1,5,0,1,1,0,1,0,Budget
6958,4.1,1,1,1,7,1,0,0,1,1,1,Standard
10376,4.13,2,1,1,8,1,1,1,1,1,0,Premium
4465,0.84,3,1,1,5,0,1,1,1,0,1,Budget
6930,3.67,1,1,0,5,1,1,1,0,0,1,Standard
9946,4.1,2,1,1,8,1,1,0,1,1,1,Premium
4247,2.79,2,1,1,5,0,0,0,1,1,1,Budget
5292,4.13,3,1,0,5,0,1,1,1,1,1,Standard
11543,2.46,3,1,1,8,1,1,0,1,1,1,Premium
4177,1.3,3,0,1,4,0,1,1,1,1,1,Budget
7511,2.08,2,1,0,8,0,1,0,0,1,1,Standard
11024,1.5,4,1,1,8,1,1,0,1,1,1,Premium
4852,0.9,4,1,1,6,0,1,1,0,0,0,Budget
7485,2.62,2,1,0,7,1,0,0,0,1,0,Standard
9235,3.32,1,1,1,8,1,1,1,1,1,0,Premium
3692,0.58,3,1,1,3,0,0,1,1,1,1,Budget
7378,3.71,4,1,0,6,1,1,1,1,1,1,Standard
9918,3.55,1,1,1,6,1,1,0,1,1,1,Premium
3502,2.56,4,1,1,4,0,1,0,1,0,1,Budget
7335,4.43,4,0,1,8,1,1,0,0,0,0,Standard
9357,4.8,2,1,1,8,1,1,0,1,1,1,Premium
4963,2.89,1,0,1,4,0,1,1,1,0,1,Budget
5416,4.07,3,0,0,5,0,0,1,1,0,1,Standard
10809,2.04,1,1,1,7,1,1,0,1,1,0,Premium
3519,2.62,3,1,1,4,0,1,0,1,1,0,Budget
6065,3.81,1,1,1,8,1,1,1,1,1,1,Standard
11426,2.2,1,1,1,9,1,1,1,1,1,0,Premium
3626,1.36,2,0,1,6,0,1,1,1,1,0,Budget
6070,2.9,2,0,0,7,0,0,0,1,1,0,Standard
10260,1.88,1,1,1,8,1,1,0,1,1,1,Premium
4211,1.21,4,1,1,3,0,0,0,0,0,0,Budget
6468,1.86,4,1,0,6,1,0,0,1,0,0,Standard
10898,4.49,1,1,1,9,1,1,0,1,1,1,Premium
4355,1.85,1,1,1,3,0,1,0,0,0,0,Budget
6799,0.67,1,0,1,8,1,1,1,1,1,0,Standard
9939,3.03,1,1,1,6,1,1,0,1,1,0,Premium
4083,1.85,1,0,1,4,0,1,1,0,1,1,Budget
6247,1.59,1,0,1,8,1,1,0,1,0,0,Standard
10794,2.59,4,1,1,9,1,1,0,1,1,0,Premium
3542,4.08,2,1,1,3,0,0,1,0,0,0,Budget
5049,2.21,3,0,1,6,0,0,1,1,1,0,Standard
11605,2.1,4,1,1,6,1,1,1,1,1,1,Premium
3545,1.78,1,1,1,4,0,1,1,0,0,1,Budget
6632,1.05,4,1,0,7,1,0,1,1,0,1,Standard
9807,3.67,2,1,1,8,1,1,0,1,1,1,Premium
3000,0.82,2,1,1,6,0,0,1,0,1,0,Budget
7842,4.44,3,0,1,7,1,1,1,1,1,1,Standard
9537,1.12,3,1,1,9,1,1,0,1,1,1,Premium
4288,1.36,2,1,1,4,0,0,0,1,1,0,Budget
6437,2.71,1,1,0,5,0,0,0,0,0,0,Standard
8682,3.31,3,1,1,8,1,1,1,1,1,1,Premium
4613,3.75,3,0,1,5,0,0,1,0,1,0,Budget
6705,0.6,4,1,1,6,0,1,0,0,1,1,Standard
8486,4.49,1,1,1,9,1,1,1,1,1,1,Premium
3375,2.62,3,1,1,5,0,1,1,1,1,0,Budget
7626,1.91,3,0,1,8,1,1,0,0,1,0,Standard
9151,1.94,2,1,1,7,1,1,1,1,1,0,Premium
3093,3.29,1,0,1,6,0,0,0,1,0,0,Budget
5342,0.71,2,1,0,7,1,1,0,1,0,1,Standard
10567,4.45,4,1,1,7,1,1,1,1,1,0,Premium
4185,2.54,4,0,1,4,0,0,0,0,1,1,Budget
5693,1.56,3,1,1,7,1,1,1,0,0,0,Standard
11897,0.81,4,1,1,6,1,1,0,1,1,1,Premium
3990,1.74,3,1,1,4,0,0,1,1,1,0,Budget
6323,3.44,2,0,1,6,1,0,1,0,0,1,Standard
10157,3.3,4,1,1,6,1,1,1,1,1,1,Premium
4537,2.52,3,1,1,6,0,1,0,0,1,1,Budget
6362,4.72,2,1,1,5,1,0,1,1,1,1,Standard
9224,2.59,4,1,1,7,1,1,0,1,1,1,Premium
3414,3.2,4,0,1,3,0,1,1,0,1,0,Budget
5452,2.44,1,0,1,6,0,1,1,0,0,0,Standard
11814,0.67,3,1,1,8,1,1,1,1,1,0,Premium
4887,4.57,1,0,1,5,0,1,1,0,0,0,Budget
5141,4.63,3,0,1,6,1,1,0,1,0,0,Standard
9386,1.35,1,1,1,7,1,1,0,1,1,0,Premium
3170,2.26,2,0,1,6,0,1,1,1,1,0,Budget
6106,1.9,2,1,0,6,0,1,0,0,0,0,Standard
11184,4.35,4,1,1,6,1,1,0,1,1,1,Premium
4014,0.79,1,1,1,3,0,1,0,1,0,1,Budget
6906,2.42,2,1,0,6,0,1,0,0,0,0,Standard
9905,4.79,3,1,1,8,1,1,1,1,1,1,Premium
3471,1.79,1,1,1,6,0,0,1,1,0,0,Budget
6073,4.56,4,0,1,6,1,1,1,0,1,1,Standard
8320,1.76,3,1,1,6,1,1,0,1,1,1,Premium
3723,2.8,1,1,1,5,0,1,0,0,0,1,Budget
7814,4.62,2,0,0,7,0,1,1,1,0,0,Standard
9647,4.24,1,1,1,9,1,1,0,1,1,0,Premium
3089,3.24,1,0,1,5,0,1,0,0,1,1,Budget
7974,0.64,3,0,0,8,0,1,1,1,1,1,Standard
9758,1.13,4,1,1,7,1,1,1,1,1,1,Premium
3357,4.23,4,1,1,6,0,1,0,1,0,0,Budget
6720,1.7,1,0,0,8,0,0,1,0,0,1,Standard
11747,2.46,3,1,1,6,1,1,0,1,1,0,Premium
4018,2.77,3,1,1,4,0,1,1,1,0,1,Budget
7819,3.37,2,0,1,7,0,1,0,1,0,0,Standard
11539,1.42,3,1,1,8,1,1,1,1,1,0,Premium
3763,1.73,1,1,1,5,0,1,1,1,1,1,Budget
6489,1.9,4,0,1,6,0,0,1,1,0,1,Standard
11621,0.71,2,1,1,9,1,1,0,1,1,0,Premium
4005,4.14,4,0,1,3,0,0,0,0,0,0,Budget
6137,0.64,3,1,1,8,1,0,1,0,1,0,Standard
11685,3.02,4,1,1,7,1,1,1,1,1,1,Premium
4546,1.72,2,0,1,3,0,0,0,0,0,0,Budget
5232,1.8,1,0,0,5,1,1,1,1,0,0,Standard
9198,1.07,3,1,1,7,1,1,0,1,1,0,Premium
3391,4.49,1,1,1,5,0,1,0,0,1,0,Budget
5079,1.17,3,0,0,8,1,0,0,0,0,0,Standard
11739,1.96,4,1,1,8,1,1,1,1,1,0,Premium
3407,2.53,3,0,1,6,0,0,1,1,0,1,Budget
5714,4.16,2,1,0,8,1,1,1,1,1,1,Standard
8166,1.58,4,1,1,7,1,1,1,1,1,1,Premium
3172,2.78,4,0,1,3,0,1,1,1,1,1,Budget
7565,2.01,4,0,1,5,1,0,1,1,1,1,Standard
8054,1.6,4,1,1,8,1,1,1,1,1,0,Premium
4019,2.06,1,1,1,3,0,0,1,0,1,1,Budget
6769,0.63,1,1,1,5,1,1,1,0,0,1,Standard
10565,2.15,2,1,1,9,1,1,0,1,1,1,Premium
3481,3.99,2,0,1,6,0,1,0,0,0,1,Budget
5738,3.59,1,0,0,5,0,0,0,0,1,0,Standard
9433,2.36,1,1,1,9,1,1,1,1,1,1,Premium
3091,4.82,3,0,1,5,0,0,1,1,1,0,Budget
5618,4.48,1,1,0,6,0,0,0,1,0,1,Standard
10507,3.18,2,1,1,9,1,1,0,1,1,1,Premium
4799,3.79,4,0,1,5,0,0,1,1,1,0,Budget
6100,4.54,3,0,1,6,1,1,1,0,1,0,Standard
11490,1.45,4,1,1,9,1,1,0,1,1,1,Premium
4324,2.71,1,0,1,4,0,0,0,0,1,1,Budget
6516,0.54,3,1,1,5,0,0,1,1,1,0,Standard
10613,3.72,4,1,1,7,1,1,0,1,1,1,Premium
4753,3.18,2,0,1,4,0,0,1,1,1,1,Budget
6440,4.83,1,0,0,8,1,0,0,1,0,0,Standard
11199,0.68,4,1,1,6,1,1,1,1,1,0,Premium
3184,1.97,2,0,1,4,0,1,0,0,0,1,Budget
6314,1.59,2,1,1,5,0,1,1,0,0,0,Standard
8740,4.03,1,1,1,9,1,1,1,1,1,0,Premium
4730,3.91,2,0,1,5,0,0,1,0,0,0,Budget
6170,3.79,4,1,0,6,1,1,1,0,1,0,Standard
